;hash-rate
25/07/2014 01:00;133947.2535
28/07/2014 01:00;131646.2068
31/07/2014 01:00;138928.4508
03/08/2014 01:00;145962.6768
06/08/2014 01:00;142370.1587
09/08/2014 01:00;142042.1068
12/08/2014 01:00;156186.9054
15/08/2014 01:00;168551.6459
18/08/2014 01:00;166590.1139
21/08/2014 01:00;173869.381
24/08/2014 01:00;185549.6474
27/08/2014 01:00;187620.0106
30/08/2014 01:00;191175.9856
02/09/2014 01:00;205492.2852
05/09/2014 01:00;210825.0291
08/09/2014 01:00;214261.8716
11/09/2014 01:00;212119.2529
14/09/2014 01:00;215235.7892
17/09/2014 01:00;230941.5697
20/09/2014 01:00;251183.753
23/09/2014 01:00;256320.1904
26/09/2014 01:00;242339.0891
29/09/2014 01:00;237192.7421
02/10/2014 01:00;244492.4536
05/10/2014 01:00;247623.8573
08/10/2014 01:00;262392.6759
11/10/2014 01:00;262629.4035
14/10/2014 01:00;254597.3328
17/10/2014 01:00;258511.7331
20/10/2014 01:00;255280.3365
23/10/2014 01:00;257517.4572
26/10/2014 01:00;261957.9967
29/10/2014 00:00;269178.8897
01/11/2014 00:00;277528.2123
04/11/2014 00:00;289794.6526
07/11/2014 00:00;298142.2085
10/11/2014 00:00;290766.3526
13/11/2014 00:00;286306.5269
16/11/2014 00:00;285462.7945
19/11/2014 00:00;287993.9917
22/11/2014 00:00;281806.1041
25/11/2014 00:00;286019.9368
28/11/2014 00:00;280465.5523
01/12/2014 00:00;291626.9365
04/12/2014 00:00;285903.1498
07/12/2014 00:00;286699.9065
10/12/2014 00:00;277260.3304
13/12/2014 00:00;286100.5156
16/12/2014 00:00;289225.7447
19/12/2014 00:00;274761.561
22/12/2014 00:00;271171.9834
25/12/2014 00:00;277685.488
28/12/2014 00:00;297019.7955
31/12/2014 00:00;309909.3338
03/01/2015 00:00;318714.726
06/01/2015 00:00;323459.8598
09/01/2015 00:00;316894.2242
12/01/2015 00:00;302463.704
15/01/2015 00:00;297101.5732
18/01/2015 00:00;306288.2272
21/01/2015 00:00;312263.311
24/01/2015 00:00;303519.9383
27/01/2015 00:00;282598.2964
30/01/2015 00:00;296921.4384
02/02/2015 00:00;317069.2015
05/02/2015 00:00;315666.4983
08/02/2015 00:00;324459.4369
11/02/2015 00:00;325783.7947
14/02/2015 00:00;318705.117
17/02/2015 00:00;324853.935
20/02/2015 00:00;338744.6766
23/02/2015 00:00;345058.6501
26/02/2015 00:00;338305.8581
01/03/2015 00:00;335436.4235
04/03/2015 00:00;347109.3574
07/03/2015 00:00;337495.0581
10/03/2015 00:00;336202.5437
